,GeneSymbol,Type,ClinicalSignificance,clinsig
62,BRCA1,Deletion,Pathogenic,Pathogenic
63,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
64,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
65,BRCA1,single nucleotide variant,Benign,Benign
66,BRCA1,single nucleotide variant,Benign,Benign
67,BRCA1,Duplication,Pathogenic,Pathogenic
68,BRCA1,Duplication,Pathogenic,Pathogenic
69,BRCA1,Deletion,Pathogenic,Pathogenic
70,BRCA1,Deletion,Pathogenic,Pathogenic
71,BRCA1,single nucleotide variant,Benign,Benign
72,BRCA1,single nucleotide variant,Benign,Benign
73,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
74,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
75,BRCA1,Deletion,Pathogenic,Pathogenic
76,BRCA1,Deletion,Pathogenic,Pathogenic
77,BRCA1,Deletion,Pathogenic,Pathogenic
78,BRCA1,Deletion,Pathogenic,Pathogenic
79,BRCA1,Deletion,Pathogenic,Pathogenic
80,BRCA1,Deletion,Pathogenic,Pathogenic
81,BRCA1,Insertion,Pathogenic,Pathogenic
82,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
83,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
84,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
85,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
86,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
87,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
88,BRCA1,Deletion,Pathogenic,Pathogenic
89,BRCA1,Deletion,Pathogenic,Pathogenic
90,BRCA1,Deletion,Pathogenic,Pathogenic
91,BRCA1,Deletion,Pathogenic,Pathogenic
92,BRCA1,single nucleotide variant,Benign,Benign
93,BRCA1,single nucleotide variant,Benign,Benign
94,BRCA1,single nucleotide variant,Benign,Benign
95,BRCA1,single nucleotide variant,Benign,Benign
96,BRCA1,Deletion,Pathogenic,Pathogenic
97,BRCA1,Deletion,Pathogenic,Pathogenic
98,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
99,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
100,BRCA1,Deletion,Pathogenic,Pathogenic
101,BRCA1,Deletion,Pathogenic,Pathogenic
102,BRCA1,Deletion,Pathogenic,Pathogenic
103,BRCA1,Deletion,Pathogenic,Pathogenic
104,BRCA1,Deletion,Pathogenic,Pathogenic
105,BRCA1,Deletion,Pathogenic,Pathogenic
106,BRCA1,Deletion,Pathogenic,Pathogenic
107,BRCA1,Deletion,Pathogenic,Pathogenic
108,BRCA1,Insertion,Pathogenic,Pathogenic
109,BRCA1,Insertion,Pathogenic,Pathogenic
110,BRCA1,single nucleotide variant,Likely benign,Likely benign
111,BRCA1,single nucleotide variant,Likely benign,Likely benign
112,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
113,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
114,BRCA1,Microsatellite,Pathogenic,Pathogenic
115,BRCA1,Microsatellite,Pathogenic,Pathogenic
116,BRCA1,Indel,Pathogenic,Pathogenic
117,BRCA1,Indel,Pathogenic,Pathogenic
118,BRCA1,Indel,Pathogenic,Pathogenic
119,BRCA1,Indel,Pathogenic,Pathogenic
120,BRCA1,Deletion,Pathogenic,Pathogenic
121,BRCA1,Deletion,Pathogenic,Pathogenic
122,BRCA1,Deletion,Pathogenic,Pathogenic
123,BRCA1,Deletion,Pathogenic,Pathogenic
124,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
125,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
126,BRCA1,single nucleotide variant,Benign,Benign
127,BRCA1,single nucleotide variant,Benign,Benign
128,BRCA1,Deletion,Pathogenic,Pathogenic
129,BRCA1,Deletion,Pathogenic,Pathogenic
130,BRCA1,Deletion,Pathogenic,Pathogenic
131,BRCA1,Deletion,Pathogenic,Pathogenic
132,BRCA1,single nucleotide variant,Benign,Benign
133,BRCA1,single nucleotide variant,Benign,Benign
134,BRCA1,single nucleotide variant,Benign,Benign
135,BRCA1,single nucleotide variant,Benign,Benign
136,BRCA1,Deletion,Pathogenic,Pathogenic
137,BRCA1,Deletion,Pathogenic,Pathogenic
138,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
139,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
140,BRCA1,Duplication,Pathogenic,Pathogenic
141,BRCA1,Duplication,Pathogenic,Pathogenic
142,BRCA1,Microsatellite,Benign,Benign
143,BRCA1,Microsatellite,Benign,Benign
144,BRCA1,Deletion,Pathogenic,Pathogenic
145,BRCA1,Deletion,Pathogenic,Pathogenic
146,BRCA1,Insertion,Pathogenic,Pathogenic
147,BRCA1,Insertion,Pathogenic,Pathogenic
148,BRCA1,Duplication,Pathogenic,Pathogenic
149,BRCA1,Duplication,Pathogenic,Pathogenic
150,BRCA1,Deletion,Pathogenic,Pathogenic
151,BRCA1,Deletion,Pathogenic,Pathogenic
152,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
153,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
154,BRCA1,Deletion,Pathogenic,Pathogenic
155,BRCA1,Deletion,Pathogenic,Pathogenic
156,BRCA1,Deletion,Pathogenic,Pathogenic
157,BRCA1,Deletion,Pathogenic,Pathogenic
158,BRCA1,single nucleotide variant,Benign,Benign
159,BRCA1,single nucleotide variant,Benign,Benign
160,BRCA1,Deletion,Pathogenic,Pathogenic
161,BRCA1,Deletion,Pathogenic,Pathogenic
162,BRCA1,Duplication,Pathogenic,Pathogenic
163,BRCA1,Duplication,Pathogenic,Pathogenic
164,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
165,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
166,BRCA1,Insertion,Pathogenic,Pathogenic
167,BRCA1,Insertion,Pathogenic,Pathogenic
168,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
169,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
170,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
171,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
172,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
173,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
174,BRCA1,single nucleotide variant,Benign,Benign
175,BRCA1,single nucleotide variant,Benign,Benign
176,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
177,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
178,BRCA1,single nucleotide variant,Benign,Benign
179,BRCA1,single nucleotide variant,Benign,Benign
180,BRCA1,Deletion,Pathogenic,Pathogenic
181,BRCA1,Deletion,Pathogenic,Pathogenic
182,BRCA1,Duplication,Pathogenic,Pathogenic
183,BRCA1,Duplication,Pathogenic,Pathogenic
184,BRCA1,Deletion,Pathogenic,Pathogenic
185,BRCA1,Deletion,Pathogenic,Pathogenic
186,BRCA1,Deletion,Pathogenic,Pathogenic
187,BRCA1,Deletion,Pathogenic,Pathogenic
188,BRCA1,single nucleotide variant,Benign,Benign
189,BRCA1,single nucleotide variant,Benign,Benign
190,BRCA1,Deletion,Pathogenic,Pathogenic
191,BRCA1,Deletion,Pathogenic,Pathogenic
192,BRCA1,Deletion,Pathogenic,Pathogenic
193,BRCA1,Deletion,Pathogenic,Pathogenic
194,BRCA1,Deletion,Pathogenic,Pathogenic
195,BRCA1,Deletion,Pathogenic,Pathogenic
196,BRCA1,Deletion,Pathogenic,Pathogenic
197,BRCA1,Deletion,Pathogenic,Pathogenic
198,BRCA1,Deletion,Pathogenic,Pathogenic
199,BRCA1,Deletion,Pathogenic,Pathogenic
200,BRCA1,single nucleotide variant,Benign,Benign
201,BRCA1,single nucleotide variant,Benign,Benign
202,BRCA1,Deletion,Pathogenic,Pathogenic
203,BRCA1,Deletion,Pathogenic,Pathogenic
204,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
205,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
206,BRCA1,single nucleotide variant,Benign,Benign
207,BRCA1,single nucleotide variant,Benign,Benign
208,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
209,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
210,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
211,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
212,BRCA1,single nucleotide variant,Benign,Benign
213,BRCA1,single nucleotide variant,Benign,Benign
214,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
215,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
216,BRCA1,Deletion,Pathogenic,Pathogenic
217,BRCA1,Deletion,Pathogenic,Pathogenic
218,BRCA1,Duplication,Pathogenic,Pathogenic
219,BRCA1,Duplication,Pathogenic,Pathogenic
220,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
221,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
222,BRCA1,single nucleotide variant,Likely benign,Likely benign
223,BRCA1,single nucleotide variant,Likely benign,Likely benign
224,BRCA1,single nucleotide variant,Benign,Benign
225,BRCA1,single nucleotide variant,Benign,Benign
226,BRCA1,single nucleotide variant,Benign,Benign
227,BRCA1,single nucleotide variant,Benign,Benign
228,BRCA1,Deletion,Pathogenic,Pathogenic
229,BRCA1,Deletion,Pathogenic,Pathogenic
230,BRCA1,Insertion,Pathogenic,Pathogenic
231,BRCA1,Insertion,Pathogenic,Pathogenic
232,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
233,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
234,BRCA1,Deletion,Pathogenic,Pathogenic
235,BRCA1,Deletion,Pathogenic,Pathogenic
236,BRCA1,single nucleotide variant,Benign,Benign
237,BRCA1,single nucleotide variant,Benign,Benign
238,BRCA1,Microsatellite,Pathogenic,Pathogenic
239,BRCA1,Microsatellite,Pathogenic,Pathogenic
240,BRCA1,Insertion,Pathogenic,Pathogenic
241,BRCA1,Insertion,Pathogenic,Pathogenic
242,BRCA1,single nucleotide variant,Benign,Benign
243,BRCA1,single nucleotide variant,Benign,Benign
244,BRCA1,single nucleotide variant,Benign,Benign
245,BRCA1,single nucleotide variant,Benign,Benign
246,BRCA1,single nucleotide variant,Benign,Benign
247,BRCA1,single nucleotide variant,Benign,Benign
248,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
249,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
250,BRCA1,single nucleotide variant,Benign,Benign
251,BRCA1,single nucleotide variant,Benign,Benign
252,BRCA1,Insertion,Pathogenic,Pathogenic
253,BRCA1,Insertion,Pathogenic,Pathogenic
254,BRCA1,Deletion,Pathogenic,Pathogenic
255,BRCA1,Deletion,Pathogenic,Pathogenic
256,BRCA1,Microsatellite,Pathogenic,Pathogenic
257,BRCA1,Microsatellite,Pathogenic,Pathogenic
258,BRCA1,Deletion,Pathogenic,Pathogenic
259,BRCA1,Deletion,Pathogenic,Pathogenic
260,BRCA1,single nucleotide variant,Benign,Benign
261,BRCA1,single nucleotide variant,Benign,Benign
262,BRCA1,Deletion,Pathogenic,Pathogenic
263,BRCA1,Deletion,Pathogenic,Pathogenic
264,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
265,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
266,BRCA1,Deletion,Pathogenic,Pathogenic
267,BRCA1,Deletion,Pathogenic,Pathogenic
268,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
269,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
270,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
271,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
272,BRCA1,Deletion,Pathogenic,Pathogenic
273,BRCA1,Deletion,Pathogenic,Pathogenic
274,BRCA1,Deletion,Pathogenic,Pathogenic
275,BRCA1,Deletion,Pathogenic,Pathogenic
276,BRCA1,Deletion,Pathogenic,Pathogenic
277,BRCA1,Deletion,Pathogenic,Pathogenic
278,BRCA1,Deletion,Pathogenic,Pathogenic
279,BRCA1,Deletion,Pathogenic,Pathogenic
280,BRCA1,Duplication,Pathogenic,Pathogenic
281,BRCA1,Duplication,Pathogenic,Pathogenic
282,BRCA1,Duplication,Pathogenic,Pathogenic
283,BRCA1,Duplication,Pathogenic,Pathogenic
284,BRCA1,single nucleotide variant,Benign,Benign
285,BRCA1,single nucleotide variant,Benign,Benign
286,BRCA1,Insertion,Pathogenic,Pathogenic
287,BRCA1,Insertion,Pathogenic,Pathogenic
288,BRCA1,Deletion,Pathogenic,Pathogenic
289,BRCA1,Deletion,Pathogenic,Pathogenic
290,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
291,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
292,BRCA1,Microsatellite,Pathogenic,Pathogenic
293,BRCA1,Microsatellite,Pathogenic,Pathogenic
294,BRCA1,single nucleotide variant,Benign,Benign
295,BRCA1,single nucleotide variant,Benign,Benign
296,BRCA1,Deletion,Pathogenic,Pathogenic
297,BRCA1,Deletion,Pathogenic,Pathogenic
298,BRCA1,Duplication,Pathogenic,Pathogenic
299,BRCA1,Duplication,Pathogenic,Pathogenic
300,BRCA1,Microsatellite,Pathogenic,Pathogenic
301,BRCA1,Microsatellite,Pathogenic,Pathogenic
302,BRCA1,Indel,Pathogenic,Pathogenic
303,BRCA1,Indel,Pathogenic,Pathogenic
304,BRCA1,single nucleotide variant,Benign,Benign
305,BRCA1,single nucleotide variant,Benign,Benign
306,BRCA1,Duplication,Pathogenic,Pathogenic
307,BRCA1,Duplication,Pathogenic,Pathogenic
308,BRCA1,Deletion,Pathogenic,Pathogenic
309,BRCA1,Deletion,Pathogenic,Pathogenic
310,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
311,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
312,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
313,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
314,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
315,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
316,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
317,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
318,BRCA1,Deletion,Pathogenic,Pathogenic
319,BRCA1,Deletion,Pathogenic,Pathogenic
320,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
321,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
322,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
323,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
324,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
325,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
326,BRCA1,Microsatellite,Pathogenic,Pathogenic
327,BRCA1,Microsatellite,Pathogenic,Pathogenic
328,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
329,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
330,BRCA1,Microsatellite,Pathogenic,Pathogenic
331,BRCA1,Microsatellite,Pathogenic,Pathogenic
332,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
333,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
334,BRCA1,Indel,Pathogenic,Pathogenic
335,BRCA1,Indel,Pathogenic,Pathogenic
336,BRCA1,single nucleotide variant,Likely benign,Likely benign
337,BRCA1,single nucleotide variant,Likely benign,Likely benign
338,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
339,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
340,BRCA1,Deletion,Pathogenic,Pathogenic
341,BRCA1,Deletion,Pathogenic,Pathogenic
342,BRCA1,Microsatellite,Pathogenic,Pathogenic
343,BRCA1,Microsatellite,Pathogenic,Pathogenic
344,BRCA1,single nucleotide variant,Benign,Benign
345,BRCA1,single nucleotide variant,Benign,Benign
346,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
347,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
348,BRCA1,single nucleotide variant,Likely benign,Likely benign
349,BRCA1,single nucleotide variant,Likely benign,Likely benign
350,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
351,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
352,BRCA1,Deletion,Pathogenic,Pathogenic
353,BRCA1,Deletion,Pathogenic,Pathogenic
354,BRCA1,Insertion,Pathogenic,Pathogenic
355,BRCA1,Insertion,Pathogenic,Pathogenic
356,BRCA1,Indel,Pathogenic,Pathogenic
357,BRCA1,Indel,Pathogenic,Pathogenic
358,BRCA1,Deletion,Pathogenic,Pathogenic
359,BRCA1,Deletion,Pathogenic,Pathogenic
360,BRCA1,Deletion,Pathogenic,Pathogenic
361,BRCA1,Deletion,Pathogenic,Pathogenic
362,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
363,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
364,BRCA1,Duplication,Pathogenic,Pathogenic
365,BRCA1,Duplication,Pathogenic,Pathogenic
366,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
367,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
368,BRCA1,Deletion,Pathogenic,Pathogenic
369,BRCA1,Deletion,Pathogenic,Pathogenic
370,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
371,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
372,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
373,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
374,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
375,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
376,BRCA1,Duplication,Pathogenic,Pathogenic
377,BRCA1,Duplication,Pathogenic,Pathogenic
378,BRCA1,single nucleotide variant,Likely benign,Likely benign
379,BRCA1,single nucleotide variant,Likely benign,Likely benign
380,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
381,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
382,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
383,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
384,BRCA1,Microsatellite,Pathogenic,Pathogenic
385,BRCA1,Microsatellite,Pathogenic,Pathogenic
386,BRCA1,Microsatellite,Pathogenic,Pathogenic
387,BRCA1,Microsatellite,Pathogenic,Pathogenic
388,BRCA1,Indel,Pathogenic,Pathogenic
389,BRCA1,Indel,Pathogenic,Pathogenic
390,BRCA1,Deletion,Uncertain significance,Uncertain significance
391,BRCA1,Deletion,Uncertain significance,Uncertain significance
392,BRCA1,single nucleotide variant,Benign,Benign
393,BRCA1,single nucleotide variant,Benign,Benign
394,BRCA1,single nucleotide variant,Benign,Benign
395,BRCA1,single nucleotide variant,Benign,Benign
396,BRCA1,Deletion,Pathogenic,Pathogenic
397,BRCA1,Deletion,Pathogenic,Pathogenic
398,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
399,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
400,BRCA1,single nucleotide variant,Benign,Benign
401,BRCA1,single nucleotide variant,Benign,Benign
402,BRCA1,Deletion,Pathogenic,Pathogenic
403,BRCA1,Deletion,Pathogenic,Pathogenic
404,BRCA1,Microsatellite,Pathogenic,Pathogenic
405,BRCA1,Microsatellite,Pathogenic,Pathogenic
406,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
407,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
408,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
409,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
410,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
411,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
412,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
413,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
414,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
415,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
416,BRCA1,single nucleotide variant,Likely pathogenic,Likely pathogenic
417,BRCA1,single nucleotide variant,Likely pathogenic,Likely pathogenic
418,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
419,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
420,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
421,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
422,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
423,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
424,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
425,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
426,BRCA1,Microsatellite,Pathogenic,Pathogenic
427,BRCA1,Microsatellite,Pathogenic,Pathogenic
428,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
429,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
430,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
431,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
432,BRCA1,Indel,Pathogenic,Pathogenic
433,BRCA1,Indel,Pathogenic,Pathogenic
434,BRCA1,single nucleotide variant,Likely pathogenic,Likely pathogenic
435,BRCA1,single nucleotide variant,Likely pathogenic,Likely pathogenic
436,BRCA1,Deletion,Pathogenic,Pathogenic
437,BRCA1,Deletion,Pathogenic,Pathogenic
438,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
439,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
440,BRCA1,Duplication,Pathogenic,Pathogenic
441,BRCA1,Duplication,Pathogenic,Pathogenic
442,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
443,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
444,BRCA1,Deletion,Pathogenic,Pathogenic
445,BRCA1,Deletion,Pathogenic,Pathogenic
446,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
447,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
448,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
449,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
450,BRCA1,single nucleotide variant,Benign,Benign
451,BRCA1,single nucleotide variant,Benign,Benign
452,BRCA1,Deletion,Pathogenic,Pathogenic
453,BRCA1,Deletion,Pathogenic,Pathogenic
454,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
455,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
456,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
457,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
458,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
459,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
460,BRCA1,Deletion,Pathogenic,Pathogenic
461,BRCA1,Deletion,Pathogenic,Pathogenic
462,BRCA1,single nucleotide variant,Likely benign,Likely benign
463,BRCA1,single nucleotide variant,Likely benign,Likely benign
464,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
465,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
466,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
467,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
468,BRCA1,single nucleotide variant,Benign,Benign
469,BRCA1,single nucleotide variant,Benign,Benign
470,BRCA1,single nucleotide variant,Likely benign,Likely benign
471,BRCA1,single nucleotide variant,Likely benign,Likely benign
472,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
473,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
474,BRCA1,single nucleotide variant,Likely pathogenic,Likely pathogenic
475,BRCA1,single nucleotide variant,Likely pathogenic,Likely pathogenic
476,BRCA1,Deletion,Uncertain significance,Uncertain significance
477,BRCA1,Deletion,Uncertain significance,Uncertain significance
478,BRCA1,single nucleotide variant,Benign,Benign
479,BRCA1,single nucleotide variant,Benign,Benign
480,BRCA1,single nucleotide variant,Benign,Benign
481,BRCA1,single nucleotide variant,Benign,Benign
482,BRCA1,single nucleotide variant,Benign,Benign
483,BRCA1,single nucleotide variant,Benign,Benign
484,BRCA1,Duplication,Pathogenic,Pathogenic
485,BRCA1,Duplication,Pathogenic,Pathogenic
486,BRCA1,Deletion,Pathogenic,Pathogenic
487,BRCA1,Deletion,Pathogenic,Pathogenic
488,BRCA1,Deletion,Pathogenic,Pathogenic
489,BRCA1,Deletion,Pathogenic,Pathogenic
490,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
491,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
492,BRCA1,Deletion,Pathogenic,Pathogenic
